Date,Banks name,Yerevan,Lori,Tavush,Syuniq,Ararat,Kotayq,Armavir,Aragatsotn,Shirak,Gegharquniq,Vayots Dzor,NKR,NPL (%),NPL (%)_r,NPL(AMDths),LoanPortfolio(net),Provisions,LoanPortfolio(Gross),Coverageratio,TheimpairmenttotheNPL,CostofCreditRisk,TotalAssets,TotalLiabilities,TotalCapital,"StatutoryCapital
(w/oincomefromemission)",Loans,Liabilitiestocustomers,Liabilitiestocustomers(incl.securities),EmittedSecurities,ProfitAftertax,"ROA
(Annualized)","ROE
(Annualized)",Interestandsimilarincome,Interestandsimilarexpenses,Netinterestincome,Commisssionsreceived,Commisssionspaid,Netcommissions,Dividendsreceived,Netotheroperatingincome,Operatingincome,Netprovisions,Totaladministrativeexpenses,Otherincome/exspenses,Profit/(loss)beforetax,Incometax,Profit/(loss)aftertax,AMD_Assets,FXgroupI_Assets,FXgroupII_Assets,Cost of credit risk,Cost of credit risk_r,Net non-interest,Bonds Attracted
12/31/2013,ABB,13,1,1,1,1,2,1,2,2,1,,7,5.01,0.199600798,6679735,130635769,-2656516,133292285,39.77,39.77,0,219458994,194538340,24920654,17500000,137220486,116507837,116507837,0,1890690,1,9,18767409,12804964,5962445,1528452,546758,981694,0,-2002504,5793561,885530,2782503,0,2125528,234838,1890690,,,,0.480275085,2.082140072,-168884.00,9553200.00
12/31/2013,ACBA,9,5,4,3,4,4,2,5,5,4,2,,2.43,0.411522634,4194345,169475369,-3257058,172732427,77.65,77.65,0,267683021,213533410,54149611,30000000,169475369,107880384,107880384,0,4999086,2,10,28775273,13204575,15570698,2714085,1044974,1669111,2627,-1620035,16868924,1471828,8806744,7515,6582837,1583751,4999086,,,,0.522069102,1.915455246,1298226.00,7623533.00
12/31/2013,ADB,4,1,,,,,1,,1,,,1,4.89,0.204498978,2007158,40136136,-870771,41006907,43.38,43.38,0,70041427,60840624,9200803,4525992,40136136,53961484,53961484,0,844842,1,10,6459621,4252824,2206797,370502,101088,269414,0,117562,3234342,179111,1934412,0,1120819,275977,844842,,,,0.598085175,1.672002654,1027545.00,1817088.00
12/31/2013,Ameria,6,1,1,1,,,,,,,,1,1.87,0.534759358,3195523,169861419,-1386510,171247929,43.39,43.39,0,315048096,276342363,38705733,25447680,176133352,169942151,169942151,0,6057188,2,16,22769407,11120980,11648427,2055424,413461,1641963,0,796365,16201194,1959550,6565769,0,7675875,1525404,6057188,,,,0.405264513,2.467524217,4552767.00,13588551.00
12/31/2013,IDbank,7,1,,,,1,1,,1,2,,,3.91,0.255754476,1543254,38596671,-876381,39473052,56.82,56.79,0,60028907,46958762,13070145,10816300,38596671,33237423,33237423,0,-1444239,-2,-11,5407171,3656346,1750825,495007,57266,437741,301,-573930,1736140,647789,2532929,0,-1444578,-339,-1444239,,,,1.458942827,0.685427819,-14685.00,361583.00
12/31/2013,Ararat,24,3,3,3,2,3,2,1,4,2,,1,1.39,0.71942446,839504,59594347,-960320,60554667,114.39,114.39,0,125236459,105603742,19632717,6387505,59594347,68541784,69772017,1230233,3082680,3,17,10635841,4827242,5808599,1194347,347639,846708,0,-233672,7561735,485945,3193854,0,3881936,799256,3082680,,,,0.422370527,2.367589441,1753136.00,13350157.00
12/31/2013,AREXIM,8,1,,,1,2,2,,2,1,,,8.94,0.111856823,8443795,93226924,-1222078,94449002,14.47,14.47,0,233437644,212108265,21329379,16452130,92767986,160800159,160800159,0,108707,0,1,11352367,6883065,4469302,975560,395146,580414,0,211466,6115568,1122345,4743295,0,249928,141221,108707,,,,0.775609886,1.28930796,1646266.00,2772405.00
12/31/2013,ArmSwiss,1,,,,,,,,,,,,7.32,0.136612022,2114501,27860642,-1023650,28884292,48.41,48.41,0,69867560,48710284,21157276,8752800,27860642,24164692,24164692,0,1742174,3,12,6195087,3170056,3025031,211777,41370,170407,9803,165592,3989481,957249,873482,0,2158750,416576,1742174,,,,0.218946274,4.567330522,964450.00,31038567.00
12/31/2013,Artsakh,7,,,,,,,,,,,14,10.36,0.096525097,6630090,62107393,-1882398,63989791,28.39,28.39,0,89976531,76323083,13653448,6561150,62107393,51112202,51112202,0,1259302,1,10,10601629,6166285,4435344,600707,163782,436925,0,246208,5417697,1500391,2658004,0,1259302,250000,1009302,,,,0.490615108,2.038257656,982353.00,6029226.00
12/31/2013,ASHB,14,5,4,5,4,4,2,3,3,4,2,6,4.33,0.230946882,7437549,171431893,-4691837,176123730,61.56,63.08,0,269328096,225211049,44117047,13802404,172287269,159155858,159155858,0,6420380,3,16,26973386,12694694,14278692,3012201,465344,2546857,0,650499,20071885,3654918,8362873,0,8054094,1633714,6420380,,,,0.41664612,2.400118355,5793193.00,22521427.00
12/31/2013,BTA,5,,,,,,,,1,,,,4.02,0.248756219,250517,6134233,-126881,6261114,50.39,50.65,0,11562370,5835622,5726748,6520000,6113873,3834522,3834522,0,79066,1,1,1413031,555192,857839,98225,57279,40946,0,-149786,805088,-118308,812410,0,110986,31920,79066,,,,1.009094658,0.990987309,-52751.00,1037487.00
