,Banks name,level_0,level_1,Yerevan,Lori,Tavush,Syuniq,Ararat,Kotayq,Armavir,Aragatsotn,Shirak,Gegharquniq,Vayots Dzor,NKR,NPL (%)_r,NPL(AMDths),LoanPortfolio(net),Provisions,LoanPortfolio(Gross),Coverageratio,TheimpairmenttotheNPL,CostofCreditRisk,TotalAssets,TotalLiabilities,TotalCapital,"StatutoryCapital
(w/oincomefromemission)",Loans,Liabilitiestocustomers,Liabilitiestocustomers(incl.securities),EmittedSecurities,ProfitAftertax,"ROA
(Annualized)","ROE
(Annualized)",Interestandsimilarincome,Interestandsimilarexpenses,Netinterestincome,Commisssionsreceived,Commisssionspaid,Netcommissions,Dividendsreceived,Netotheroperatingincome,Operatingincome,Netprovisions,Totaladministrativeexpenses,Otherincome/exspenses,Profit/(loss)beforetax,Incometax,Profit/(loss)aftertax,AMD_Assets,FXgroupI_Assets,FXgroupII_Assets,Cost of credit risk,Cost of credit risk_r,Net non-interest,Bonds Attracted,Index,Year
0,Artsakh,2020-06-30,0,-0.4,-0.3076923076923077,0.0,0.0,-0.25,-0.3,-0.4444444444444444,-0.4,-0.4444444444444444,0.0,0.0,12.8,-0.7511139401654997,-0.29590146637074033,-0.30413314111969286,0.4487194061453779,-0.33160338904603615,2.7740465638849017,2.7740465638849017,-1.0541310541310542,-0.23781496014634598,-0.2935130765464019,0.14809433050908213,-0.10364587661707414,-0.3041331403753028,-0.21004246273037025,-0.23368603072450575,-0.40342519401022897,0.6677341297567103,1.5,1.1538461538461537,-0.020136563541059704,-0.10874329500186494,0.019119386832415947,-0.9785699983469266,-0.5300058695037202,-0.5241699330956555,0.0,-0.30507955150028127,-0.1074784876360948,-0.3854888254784093,-0.7328403784925601,0.0,0.6426876766284118,0.6629542908225318,0.6677341297567103,0.1148128625154788,-0.8137587398210381,-0.5597822899337973,-1.0070585011531001,1.5171691892577635,-0.2951385352387709,0.7432016773182806,3.6337651835791887,2020
1,ASHB,2020-06-30,1,0.4,1.5384615384615385,3.2,2.2222222222222223,2.25,0.9,0.8888888888888888,2.0,1.3333333333333333,1.3333333333333333,2.0,2.4,0.3590070019096117,1.1027855454683497,4.006108654256634,-0.9830408609731799,3.493079696673956,-0.33899257224892326,-0.33899257224892326,0.2678062678062677,4.173032944903496,3.988406696699995,3.7931948633401165,2.1247431824700413,4.006108624870729,2.1540855057096056,3.210135112174768,15.536964507629927,2.288868211601912,0.5,1.4615384615384615,3.192986099898821,3.7857722349327543,2.4001400326024265,2.327629259865472,1.3346610755254726,2.728298764994386,0.0,2.1979436624812148,2.941257058283852,2.1290122052637472,1.1930180497296854,0.0,2.28755199522619,2.3594706912395664,2.288868211601912,3.1101256230269767,4.920634499632603,0.5767449550161262,-0.6132810913153023,0.7194895171245156,5.980745726638312,2.1575557230929583,35.038222945883206,2020
2,Byblos,2020-06-30,2,-0.8,-0.3076923076923077,0.0,0.0,-0.25,-0.3,-0.4444444444444444,-0.4,-0.4444444444444444,0.0,0.0,0.0,-0.14767663908338638,-0.2678854695990279,-1.0445536789933534,0.5016156634288321,-0.9740061134716146,-0.08844641408151795,-0.08844641408151795,-0.5584045584045585,-0.8708845066707872,-0.8406377522375239,-1.2226740595515397,0.12622029737279838,-1.0445536764367251,-0.706350278378164,-0.6887834766627832,-0.40342519401022897,-0.44210777780516003,-0.5,-0.5384615384615384,-0.7606948950672247,-0.6353349492920161,-0.9297562674845201,-1.2559138120106261,-0.6046316411317011,-0.8588229693973356,0.0,-0.08927356255763998,-0.7319847007016909,-0.32192696844715407,-0.9109507573044129,0.0,-0.4718155405694239,-0.41510631810064536,-0.44210777780516003,-0.7844694139878475,-0.875463572312576,-0.6573497657443559,-0.04825411309454048,0.04219222414748959,-0.12484941821872728,0.2875960978838495,-7.0205967931379805,2020
3,Converse,2020-06-30,3,0.24,0.0,1.6,0.4444444444444444,0.25,0.9,0.8888888888888888,0.4,0.8888888888888888,0.3333333333333333,0.0,0.8,0.3488224061107575,0.25148969785597874,0.8067644078010028,-0.02345280634016116,0.6619546192721446,-0.3654578365894762,-0.3654578365894762,-0.34188034188034194,0.7034758357124745,0.6554946746197821,0.4831861522725289,-0.35855826646308914,0.8067644156167008,0.7845429851168598,0.8455164760724474,1.6853391903260404,0.11650533720444116,-0.5,0.07692307692307693,0.5296416809395628,0.40052237653599626,0.5959394021775973,0.28403119419421985,0.5973580174651671,0.4040687558680822,0.0,1.1138789933977538,0.7005389571854578,0.21455780744748562,0.7062452260495555,0.0,0.1621555326819072,0.6530660441248075,0.11650533720444116,-0.0022305196461471616,1.6142073996130728,0.22909649804786966,0.8084322358055733,-0.5292180711516721,1.5393892086861543,-0.2746061131611928,4.868192793267398,2020
4,Econom,2020-06-30,4,1.36,0.6153846153846154,0.8,0.8888888888888888,0.75,0.7,0.4444444444444444,0.4,0.4444444444444444,1.0,1.0,0.8,-0.7383831954169319,-0.2770790036030379,0.4318962628865459,0.3838645062757912,0.30791811191199264,1.9486299232257664,1.9486299232257664,-1.1566951566951569,0.49188919197631653,0.4777528419312148,-0.03930612169490395,0.10364587661707414,0.43189626182944546,-0.17647780396292848,-0.16552399113463764,0.06359954871523762,0.7961467424281278,0.5,1.4615384615384615,0.5190191970849208,0.4692834279557843,0.500031670730092,-0.06216662048926317,0.03014351235229185,0.34461154116357096,0.0,-2.292173906422652,0.4470673652086667,-0.44858028760765567,0.1529585387121237,0.0,0.8711851953993796,1.5042415410550474,0.7961467424281278,0.6614763933811291,0.04434320139751332,-0.22909649804786966,0.24423063289988944,-0.1945719984161678,0.6954375915344064,0.4703140458214959,4.68722150218402,2020
5,Evoca,2020-06-30,5,-0.24,0.0,0.0,0.0,-0.25,-0.1,-0.4444444444444444,-0.4,0.0,0.0,0.0,0.0,-0.16040738383195413,-0.15190845866779323,-0.2626511230127493,0.2776336736276204,-0.2828915818357728,0.08844641408151811,0.08844641408151811,0.017094017094016985,-0.23732091477362152,-0.20521394706795112,-0.9552293885416172,-0.5122382995111358,-0.2626511223698898,-0.22152639321261858,-0.2170140508894475,-0.06359954871523762,-0.2877101651215316,-0.5,-0.07692307692307693,-0.2081352181115346,-0.20705324378614026,-0.25990676776733174,-0.7496810266750175,0.06325381178385675,-0.6498010597017865,0.0,-0.270445596900361,-0.25003788143989936,0.04568156541894114,-0.48080854767335873,0.0,-0.3160016716826474,-0.25960328932151316,-0.2877101651215316,-0.24958718398621627,-0.22842165878101706,-0.3729657901884231,0.1548793283839092,-0.12800079454051191,-0.05920015172321751,-1.0617653027275369,-4.411343066920547,2020
6,HSBC,2020-06-30,6,-0.4,-0.3076923076923077,0.0,0.0,-0.25,-0.3,-0.4444444444444444,-0.4,-0.4444444444444444,0.0,0.0,0.0,2.41884150222788,0.6054930140438429,-0.0952700107424999,0.02345280634016116,-0.11934040973673107,-0.6392235191311404,-0.6392235191311404,-1.076923076923077,-0.06085225741632697,-0.09526273385342374,-0.03822161295228968,-0.4749767384502095,-0.09527001050931898,0.22531716343745273,0.16552399113463764,-0.40342519401022897,-0.11650533720444116,-0.5,-0.07692307692307693,-0.3804381906987475,-0.7575782799163243,-0.019119386832415947,0.06216662048926317,-0.03014351235229185,0.5654828734070003,0.0,0.15268063382325928,0.1074784876360948,-0.39407424392760637,0.44328791601927575,0.0,-0.1621555326819072,-0.2234288099721537,-0.11650533720444116,-0.2339631394319633,0.12405972802870985,0.5910854744525547,1.7433717086955083,-0.8829618482886512,0.7980729044108609,-0.38805033622737695,1.109271797332876,2020
7,IDbank,2020-06-30,7,-0.24,0.0,0.0,0.0,-0.25,-0.1,0.0,-0.4,0.0,0.0,0.0,0.0,-0.15276893698281352,-0.17706156446205015,-0.5128287199939204,-0.479982786337506,-0.44127173259894803,3.5630110479995007,3.5630110479995007,-0.01709401709401711,-0.4668867628408159,-0.5222091625821179,0.03822161295228968,0.7203396752674379,-0.5128287187387314,-0.49820935931449756,-0.4348393068166259,0.38467720557385926,-0.45124693143214784,-0.5,-0.6923076923076923,-0.2923723053896891,-0.4806480512266854,-0.1373906169117527,-0.6600169265406761,-0.29465886020861987,-0.25287905349064715,0.0,0.08927356255763998,-0.1671744938721828,-0.04568156541894114,-0.1529585387121237,0.0,-0.4102593298544245,0.08517395076297728,-0.45124693143214784,-0.33982927256535916,-0.7077236099263156,1.0211394551010013,1.0122560024745537,-0.6228760546827175,-0.07110357568073501,0.17045565605523838,-4.355780491223811,2020
8,Ineco,2020-06-30,8,0.4,0.3076923076923077,0.0,0.0,0.25,0.1,0.0,0.4,0.0,0.0,0.0,0.0,0.1247612985359643,0.15190845866779323,0.8186642652517693,-0.3215301863827993,0.6947693237148767,0.15198801572935539,0.15198801572935539,0.9173789173789174,0.9360072546707693,0.8375402686010026,1.2244400231319106,-0.7741362608013859,0.8186642632480233,0.6842228253102624,0.6728620416458031,0.6776403992759454,0.6915593375601142,0.5,0.5384615384615384,1.1535198503134967,0.7098814723642374,1.5401031749646181,0.1627852424779338,0.9808315365557144,-0.05670126783404571,0.0,0.3345455376067262,1.2339752290559547,1.3348323359294496,0.18082647014344289,0.0,0.7136726252123979,1.0248435599632977,0.6915593375601142,0.9269799953326047,0.6908912463138859,-0.3186975844508573,-0.6190325915488512,0.7285973822262763,0.9719645698190209,0.6068324413990547,10.191793596267841,2020
9,Mellat,2020-06-30,9,-0.96,-0.3076923076923077,0.0,0.0,-0.25,-0.3,-0.4444444444444444,-0.4,-0.4444444444444444,0.0,0.0,0.0,-0.1247612985359644,-0.2938905770731861,-1.2191546025615374,0.5560594769411668,-1.1286688838408738,-0.4990325198177392,-0.4990325198177392,0.07977207977207959,-1.0906842283844147,-1.1381324392346377,-0.34708388385103783,0.5763362622976951,-1.2191545995775595,-1.158926386935087,-1.1037804293666365,-0.40342519401022897,-0.21540907836506748,2.5,-0.23076923076923078,-0.95014394656521,-1.1127032856787784,-0.8029779525133731,-1.2153448287904858,-0.6597495931798647,-0.7599650705483004,0.0,0.09486220178299672,-0.6820680495733286,-0.33290217188685073,-1.0165526224855364,0.0,-0.2507400457252101,-0.2422300927491979,-0.21540907836506748,-0.8838023095365182,-1.246182655081146,-0.6426598998472246,-1.1560665531457515,1.9510683598409846,-0.2992635102149763,-0.17045565605523838,-2.291403950011129,2020
