,Date,Banks name,variable,value,Lat,Lon,Year,Month,Y-M
0,2020-06-30,Artsakh,Yerevan,8,40.18562,44.39081,2020,6,2020_6
1,2020-06-30,ASHB,Yerevan,18,40.18562,44.39081,2020,6,2020_6
2,2020-06-30,Byblos,Yerevan,3,40.18562,44.39081,2020,6,2020_6
3,2020-06-30,Converse,Yerevan,16,40.18562,44.39081,2020,6,2020_6
4,2020-06-30,Econom,Yerevan,30,40.18562,44.39081,2020,6,2020_6
5,2020-06-30,Evoca,Yerevan,10,40.18562,44.39081,2020,6,2020_6
6,2020-06-30,HSBC,Yerevan,8,40.18562,44.39081,2020,6,2020_6
7,2020-06-30,IDbank,Yerevan,10,40.18562,44.39081,2020,6,2020_6
8,2020-06-30,Ineco,Yerevan,18,40.18562,44.39081,2020,6,2020_6
9,2020-06-30,Mellat,Yerevan,1,40.18562,44.39081,2020,6,2020_6
10,2020-06-30,Uni,Yerevan,30,40.18562,44.39081,2020,6,2020_6
11,2020-06-30,VTB,Yerevan,28,40.18562,44.39081,2020,6,2020_6
12,2020-09-30,ABB,Yerevan,31,40.18562,44.39081,2020,9,2020_9
13,2020-09-30,ACBA,Yerevan,19,40.18562,44.39081,2020,9,2020_9
14,2020-09-30,Ameria,Yerevan,12,40.18562,44.39081,2020,9,2020_9
15,2020-09-30,Ararat,Yerevan,28,40.18562,44.39081,2020,9,2020_9
16,2020-09-30,Armswiss,Yerevan,1,40.18562,44.39081,2020,9,2020_9
17,2020-09-30,Artsakh,Yerevan,8,40.18562,44.39081,2020,9,2020_9
18,2020-09-30,ASHB,Yerevan,19,40.18562,44.39081,2020,9,2020_9
19,2020-09-30,Byblos,Yerevan,3,40.18562,44.39081,2020,9,2020_9
20,2020-09-30,Converse,Yerevan,16,40.18562,44.39081,2020,9,2020_9
21,2020-09-30,Econom,Yerevan,30,40.18562,44.39081,2020,9,2020_9
22,2020-09-30,Evoca,Yerevan,10,40.18562,44.39081,2020,9,2020_9
23,2020-09-30,HSBC,Yerevan,8,40.18562,44.39081,2020,9,2020_9
24,2020-09-30,IDbank,Yerevan,10,40.18562,44.39081,2020,9,2020_9
25,2020-09-30,Ineco,Yerevan,18,40.18562,44.39081,2020,9,2020_9
26,2020-09-30,Mellat,Yerevan,1,40.18562,44.39081,2020,9,2020_9
27,2020-09-30,Uni,Yerevan,30,40.18562,44.39081,2020,9,2020_9
28,2020-09-30,VTB,Yerevan,28,40.18562,44.39081,2020,9,2020_9
29,2020-12-31,ABB,Yerevan,30,40.18562,44.39081,2020,12,2020_12
30,2020-12-31,ACBA,Yerevan,18,40.18562,44.39081,2020,12,2020_12
31,2020-12-31,Ameria,Yerevan,12,40.18562,44.39081,2020,12,2020_12
32,2020-12-31,Ararat,Yerevan,27,40.18562,44.39081,2020,12,2020_12
33,2020-12-31,Armswiss,Yerevan,1,40.18562,44.39081,2020,12,2020_12
34,2020-12-31,Artsakh,Yerevan,8,40.18562,44.39081,2020,12,2020_12
35,2020-12-31,ASHB,Yerevan,19,40.18562,44.39081,2020,12,2020_12
36,2020-12-31,Byblos,Yerevan,3,40.18562,44.39081,2020,12,2020_12
37,2020-12-31,Converse,Yerevan,16,40.18562,44.39081,2020,12,2020_12
38,2020-12-31,Econom,Yerevan,32,40.18562,44.39081,2020,12,2020_12
39,2020-12-31,Evoca,Yerevan,11,40.18562,44.39081,2020,12,2020_12
40,2020-12-31,HSBC,Yerevan,8,40.18562,44.39081,2020,12,2020_12
41,2020-12-31,IDbank,Yerevan,11,40.18562,44.39081,2020,12,2020_12
42,2020-12-31,Ineco,Yerevan,18,40.18562,44.39081,2020,12,2020_12
43,2020-12-31,Mellat,Yerevan,1,40.18562,44.39081,2020,12,2020_12
44,2020-12-31,Uni,Yerevan,31,40.18562,44.39081,2020,12,2020_12
45,2020-12-31,VTB,Yerevan,28,40.18562,44.39081,2020,12,2020_12
46,2021-03-31,ABB,Yerevan,30,40.18562,44.39081,2021,3,2021_3
47,2021-03-31,ACBA,Yerevan,18,40.18562,44.39081,2021,3,2021_3
48,2021-03-31,Ameria,Yerevan,13,40.18562,44.39081,2021,3,2021_3
49,2021-03-31,Ararat,Yerevan,24,40.18562,44.39081,2021,3,2021_3
50,2021-03-31,Armswiss,Yerevan,1,40.18562,44.39081,2021,3,2021_3
51,2021-03-31,Artsakh,Yerevan,9,40.18562,44.39081,2021,3,2021_3
52,2021-03-31,ASHB,Yerevan,19,40.18562,44.39081,2021,3,2021_3
53,2021-03-31,Byblos,Yerevan,4,40.18562,44.39081,2021,3,2021_3
54,2021-03-31,Converse,Yerevan,16,40.18562,44.39081,2021,3,2021_3
55,2021-03-31,Econom,Yerevan,33,40.18562,44.39081,2021,3,2021_3
56,2021-03-31,Evoca,Yerevan,11,40.18562,44.39081,2021,3,2021_3
57,2021-03-31,HSBC,Yerevan,8,40.18562,44.39081,2021,3,2021_3
58,2021-03-31,IDbank,Yerevan,11,40.18562,44.39081,2021,3,2021_3
59,2021-03-31,Ineco,Yerevan,18,40.18562,44.39081,2021,3,2021_3
60,2021-03-31,Mellat,Yerevan,1,40.18562,44.39081,2021,3,2021_3
61,2021-03-31,Uni,Yerevan,31,40.18562,44.39081,2021,3,2021_3
62,2021-03-31,VTB,Yerevan,28,40.18562,44.39081,2021,3,2021_3
63,2021-06-30,ABB,Yerevan,30,40.18562,44.39081,2021,6,2021_6
64,2021-06-30,ACBA,Yerevan,18,40.18562,44.39081,2021,6,2021_6
65,2021-06-30,Ameria,Yerevan,14,40.18562,44.39081,2021,6,2021_6
66,2021-06-30,Ararat,Yerevan,24,40.18562,44.39081,2021,6,2021_6
67,2021-06-30,Armswiss,Yerevan,1,40.18562,44.39081,2021,6,2021_6
68,2021-06-30,Artsakh,Yerevan,9,40.18562,44.39081,2021,6,2021_6
69,2021-06-30,ASHB,Yerevan,19,40.18562,44.39081,2021,6,2021_6
70,2021-06-30,Byblos,Yerevan,4,40.18562,44.39081,2021,6,2021_6
71,2021-06-30,Converse,Yerevan,16,40.18562,44.39081,2021,6,2021_6
72,2021-06-30,Econom,Yerevan,32,40.18562,44.39081,2021,6,2021_6
73,2021-06-30,Evoca,Yerevan,11,40.18562,44.39081,2021,6,2021_6
74,2021-06-30,HSBC,Yerevan,8,40.18562,44.39081,2021,6,2021_6
75,2021-06-30,IDbank,Yerevan,11,40.18562,44.39081,2021,6,2021_6
76,2021-06-30,Ineco,Yerevan,18,40.18562,44.39081,2021,6,2021_6
77,2021-06-30,Mellat,Yerevan,1,40.18562,44.39081,2021,6,2021_6
78,2021-06-30,Uni,Yerevan,31,40.18562,44.39081,2021,6,2021_6
79,2021-06-30,VTB,Yerevan,28,40.18562,44.39081,2021,6,2021_6
80,2021-09-30,ABB,Yerevan,30,40.18562,44.39081,2021,9,2021_9
81,2021-09-30,ACBA,Yerevan,19,40.18562,44.39081,2021,9,2021_9
82,2021-09-30,Ameria,Yerevan,14,40.18562,44.39081,2021,9,2021_9
83,2021-09-30,Ararat,Yerevan,24,40.18562,44.39081,2021,9,2021_9
84,2021-09-30,Armswiss,Yerevan,1,40.18562,44.39081,2021,9,2021_9
85,2021-09-30,Artsakh,Yerevan,9,40.18562,44.39081,2021,9,2021_9
