,Banks name,level_0,level_1,Yerevan,Lori,Tavush,Syuniq,Ararat,Kotayq,Armavir,Aragatsotn,Shirak,Gegharquniq,Vayots Dzor,NKR,NPL (%)_r,NPL(AMDths),LoanPortfolio(net),Provisions,LoanPortfolio(Gross),Coverageratio,TheimpairmenttotheNPL,CostofCreditRisk,TotalAssets,TotalLiabilities,TotalCapital,"StatutoryCapital
(w/oincomefromemission)",Loans,Liabilitiestocustomers,Liabilitiestocustomers(incl.securities),EmittedSecurities,ProfitAftertax,"ROA
(Annualized)","ROE
(Annualized)",Interestandsimilarincome,Interestandsimilarexpenses,Netinterestincome,Commisssionsreceived,Commisssionspaid,Netcommissions,Dividendsreceived,Netotheroperatingincome,Operatingincome,Netprovisions,Totaladministrativeexpenses,Otherincome/exspenses,Profit/(loss)beforetax,Incometax,Profit/(loss)aftertax,AMD_Assets,FXgroupI_Assets,FXgroupII_Assets,Cost of credit risk,Cost of credit risk_r,Net non-interest,Bonds Attracted,Index,Year
0,Artsakh,2020-06-30,0,0.24137931034482757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.17511490167464405,0.9600592691726619,0.172459726207359,0.8122512031370684,0.8122512031370684,0.048913043478260865,0.16202794340208354,0.16475429920506224,0.2732863260849272,0.17703577213517435,0.17511490233085233,0.28641126411630446,0.2016948153628519,0.0,0.42006257641561384,0.75,0.8571428571428571,0.22446975417000686,0.20495355880671579,0.2849565178027196,0.0773937435942416,0.06505366508110745,0.09329291311559801,0.0,0.5630621769818701,0.1700150041956588,0.02447689551538201,0.1284015250385897,0.0,0.4251157789939875,0.4535829052150047,0.42006257641561384,0.2500333478503799,0.07012108587159498,0.0581281515537046,0.051392041677074785,0.8468967728930525,0.000656842182969835,0.5606669746723358,4.697260826839118,2020
1,ASHB,2020-06-30,1,0.5862068965517242,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.5714285714285714,0.8,0.6666666666666666,0.1875,0.18521665250637215,0.6780183031509631,1.0,0.42730806997647774,1.0,0.07144554690749212,0.07144554690749212,0.6793478260869564,1.0,0.9999999999999999,1.0,0.765417927940434,1.0,1.0,0.9999999999999999,1.0,1.0,0.5,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,0.0,1.0,0.9999999999999999,1.0,0.9999999999999999,0.0,1.0,1.0,1.0,1.0,1.0,0.7352413738700928,0.1872036625072881,0.5654319988602841,1.0,1.0,11.250648651366657,2020
2,Byblos,2020-06-30,2,0.06896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10067969413763805,0.013580850062561808,0.033414761130045725,0.9797417154228739,0.03346412460022456,0.13106767274671738,0.13106767274671738,0.28532608695652173,0.04175750985046421,0.058030316185790055,0.0,0.2377294622461258,0.03341476125526089,0.13660563958786248,0.09619960073570907,0.0,0.023032581385954654,0.25,0.07142857142857142,0.04572606926969895,0.09745242869503348,0.0,0.0,0.027636209990765423,0.0,0.0,0.6007341404203879,0.0,0.049136284928969334,0.0477929339437021,0.0,0.03559409834030998,0.10635917912244168,0.023032581385954654,0.02487097845176041,0.0601151409986596,0.0,0.38207829931433185,0.3264446757773662,0.027772903735989153,0.41914471709682327,1.4479053314643517,2020
3,Converse,2020-06-30,3,0.5172413793103449,0.16666666666666666,0.5,0.2,0.2,1.0,1.0,0.25,0.42857142857142855,0.2,0.0,0.0625,0.18351741716227699,0.26534973527839384,0.3877161610410777,0.784366230187137,0.38743420848599164,0.06514764422791279,0.06514764422791279,0.38858695652173914,0.3408541920150681,0.34987094924955037,0.34009266152047646,0.10972889819974385,0.38771616436761763,0.5866170828926681,0.45186255657257973,0.13103596734033107,0.22286839652740126,0.25,0.3571428571428571,0.35716610652076947,0.308917673641015,0.45818113603786403,0.4297269421122475,0.6303153259108253,0.35206268946977065,0.0,0.8107613010241548,0.38998893943827306,0.2572703392367559,0.7796980065850928,0.0,0.2571685847375429,0.4503980806935562,0.22286839652740126,0.22072801632265204,0.4638357166967102,0.5281215111681051,0.6775446177991007,0.12482004465662982,0.29277866473687236,0.24451093359529869,4.0042159702579525,2020
4,Econom,2020-06-30,4,1.0,0.5,0.25,0.4,0.4,0.8333333333333333,0.6666666666666666,0.25,0.2857142857142857,0.6000000000000001,0.3333333333333333,0.0625,0.0021240441801189443,0.009124253073673313,0.31597467616463415,0.9359270687807582,0.31083192231820644,0.6158279365456598,0.6158279365456598,0.0,0.3006570011762615,0.3152000283854765,0.23592481303806123,0.23176892932385895,0.31597467734868645,0.296542425686222,0.21749531932114521,0.029298201077067328,0.46600034342846763,0.5,0.9999999999999999,0.3546022275849133,0.32295490851755143,0.4293791185561181,0.3331192530906007,0.3459132646838465,0.3354875021449408,0.0,0.21618697553684885,0.3209840634709495,0.0,0.5292933943702094,0.0,0.5049762371455975,0.7245462363320557,0.46600034342846763,0.38690700708908715,0.20926935631490484,0.2551421018246396,0.4829546483105303,0.24290138047850857,0.15839166221478293,0.47590138922494013,4.659949776168515,2020
5,Evoca,2020-06-30,5,0.3103448275862069,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.09855564995751911,0.06980110197776503,0.18305364390984452,0.89639908020288,0.18299941835236902,0.17316261660032084,0.17316261660032084,0.5597826086956521,0.1621218020492068,0.1819782249641607,0.05331970893205484,0.06915133891749004,0.18305364459580167,0.2829449528399266,0.20555951314715323,0.021318528069613357,0.07826610877278646,0.25,0.2857142857142857,0.17909375764995483,0.18488405996557383,0.2011622703384781,0.14126599713801677,0.36251481016848747,0.058270090945489905,0.0,0.569108019721509,0.13120476431556555,0.19175329474830824,0.2424652361424871,0.0,0.09005143784492561,0.1564438780943313,0.07826610877278646,0.15879483462367638,0.16503829621771415,0.16942853848814418,0.45213788435597085,0.26639132200583987,0.038226593216293875,0.0,2.004349123007623,2020
6,HSBC,2020-06-30,6,0.24137931034482757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5288870008496177,0.4369540511259499,0.21508669258961058,0.8018195860165764,0.21838671154883782,0.0,0.0,0.03804347826086957,0.19564728443128276,0.2034256791431059,0.2361410285650789,0.0789898532183449,0.2150866933956052,0.4178202781118101,0.29423487972315265,0.0,0.13951217590526838,0.25,0.2857142857142857,0.1375061244704785,0.07249704612550963,0.2734730449799072,0.3678148709427489,0.31568527520777795,0.3970609163187096,0.0,0.6429706403642326,0.22853469589478487,0.021146105845199114,0.6606896791589101,0.0,0.14382105079976204,0.1680950203447557,0.13951217590526838,0.16270678416759937,0.22219604517745095,0.7437850804714411,1.0000000000000002,0.0,0.17473484086397256,0.20927237796313053,3.006129290728413,2020
7,IDbank,2020-06-30,7,0.3103448275862069,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.14285714285714285,0.0,0.0,0.0,0.09983007646559047,0.0576080480884788,0.1351751764173737,0.614493591660805,0.14873097038207014,0.9999999999999999,0.9999999999999999,0.5434782608695652,0.11850892534827286,0.120144069970165,0.2513813043936006,0.3946002918464707,0.13517517692391579,0.19943092540279292,0.15506588297994153,0.0494405980239616,0.019763180497075372,0.25,0.0,0.1587620069364944,0.12903100807436235,0.23795505300032255,0.16628707218467426,0.18305694945376616,0.16892203855173596,0.0,0.631902046382363,0.15376341768081564,0.15630815317121396,0.39084248113576286,0.0,0.05710814897953953,0.2674903600668285,0.019763180497075372,0.13620001315897834,0.08731555219587574,1.0,0.7478422921284531,0.09177241402009667,0.036331146329422435,0.38275802534129827,1.8986852547631592,2020
8,Ineco,2020-06-30,8,0.5862068965517242,0.3333333333333333,0.0,0.0,0.2,0.3333333333333333,0.3333333333333333,0.25,0.14285714285714285,0.0,0.0,0.0,0.14613423959218352,0.21707738967959794,0.3899935309774611,0.6734530519701145,0.39453427112918216,0.18828352444893348,0.18828352444893348,0.9891304347826086,0.385030467316928,0.38538137629479935,0.48787440826358064,0.0,0.38999353243888435,0.5563364310093105,0.41183988279418837,0.06781927001288683,0.42858570216110536,0.5,0.5714285714285714,0.5077474694944915,0.37207183140428995,0.7417226303367609,0.3958928429303979,0.8225894272820727,0.2236115083223703,0.0,0.6747177111459488,0.5352111455633114,0.6918908355255209,0.541905768249783,0.0,0.44992519725934627,0.5701408606990506,0.42858570216110536,0.45338382050045545,0.3141124266858447,0.20176011682871528,0.18522000232412678,0.5686457490439039,0.20242455577517096,0.5183073482711538,5.737368462255807,2020
9,Mellat,2020-06-30,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10450297366185216,0.0009747854507917569,0.0,0.9999999999999999,0.0,0.0333610599489038,0.0333610599489038,0.5896739130434782,0.0,0.0,0.17456400658805948,0.35657773998509934,0.0,0.0,0.0,0.0,0.10413078366023899,1.0,0.21428571428571427,0.0,0.0,0.03807275168534126,0.01132091408040516,0.0,0.027559114568437914,0.0,0.6328776217757998,0.013589263763065795,0.04487835685459384,0.0,0.0,0.1128605404413699,0.16203946891552207,0.10413078366023899,0.0,0.0,0.008751838090287399,0.0,1.0,0.0,0.2768626177767202,2.9124188476579262,2020
