,level_0,Banks name,level_1,NPL (%)_r,"ROA
(Annualized)","ROE
(Annualized)",Cost of credit risk_r,Index,Month,Year
0,2020-06-30,Artsakh,0,0.0,0.75,0.8571428571428571,0.8468967728930525,0.03265790798874519,6,2020
1,2020-06-30,ASHB,1,0.18521665250637215,0.5,0.9999999999999999,0.5654319988602841,0.02303284987116797,6,2020
2,2020-06-30,Byblos,2,0.10067969413763805,0.25,0.07142857142857142,0.3264446757773662,-0.018028132928255357,6,2020
3,2020-06-30,Converse,3,0.18351741716227699,0.25,0.3571428571428571,0.12482004465662982,-0.03128077378321726,6,2020
4,2020-06-30,Econom,4,0.0021240441801189443,0.5,0.9999999999999999,0.24290138047850857,-0.0418219310972937,6,2020
5,2020-06-30,Evoca,5,0.09855564995751911,0.25,0.2857142857142857,0.26639132200583987,-0.02585653240318894,6,2020
6,2020-06-30,HSBC,6,0.5288870008496177,0.25,0.2857142857142857,0.0,0.0018939863372746672,6,2020
7,2020-06-30,IDbank,7,0.09983007646559047,0.25,0.0,0.09177241402009667,-0.04663352577902594,6,2020
8,2020-06-30,Ineco,8,0.14613423959218352,0.5,0.5714285714285714,0.5686457490439039,0.018404439204537566,6,2020
9,2020-06-30,Mellat,9,0.10450297366185216,1.0,0.21428571428571427,1.0,0.06769058717955666,6,2020
10,2020-06-30,Uni,10,0.9999999999999999,0.0,0.0,0.29666925275861517,0.10305182082078986,6,2020
11,2020-06-30,VTB,11,0.5097706032285472,0.5,0.5714285714285714,0.3510514635882191,0.04276808297875418,6,2020
12,2020-09-30,ABB,12,0.10104712041884817,0.0,0.07142857142857142,0.2843538355290236,-0.024218575633358212,9,2020
13,2020-09-30,ACBA,13,0.16596858638743456,0.25,0.14285714285714282,0.07851933365227726,-0.03914698687614352,9,2020
14,2020-09-30,Ameria,14,0.19633507853403143,0.25,0.4285714285714285,0.1945240475879247,-0.021079400299338535,9,2020
15,2020-09-30,Ararat,15,0.1267015706806283,0.25,0.2857142857142857,0.028666018620193634,-0.050853356159811916,9,2020
16,2020-09-30,Armswiss,16,0.06649214659685865,0.75,0.8571428571428571,1.0,0.06058869929287553,9,2020
17,2020-09-30,Artsakh,17,0.007329842931937173,1.0,0.9999999999999999,0.5290737680948432,-0.004027099550894138,9,2020
18,2020-09-30,ASHB,18,0.22251308900523561,0.5,0.9999999999999999,0.322789649873752,-0.0012829194062221846,9,2020
